,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
2376,1982-08,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.0,
2377,1982-08,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
2378,1982-08,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
2487,1982-09,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.4,
2488,1982-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,34.2,
2489,1982-09,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2493,1982-09,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2494,1982-09,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2495,1982-09,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.7,E
2496,1982-09,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.8,
2497,1982-09,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.6,
2498,1982-09,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
2607,1982-10,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.3,
2608,1982-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,34.0,
2609,1982-10,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2613,1982-10,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2614,1982-10,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2615,1982-10,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.7,E
2616,1982-10,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.8,
2617,1982-10,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.7,
2618,1982-10,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.7,E
2727,1982-11,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.3,
2728,1982-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,34.0,
2729,1982-11,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2733,1982-11,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.7,
2734,1982-11,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
2735,1982-11,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,20.4,E
2736,1982-11,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.8,
2737,1982-11,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.7,
2738,1982-11,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.7,E
2847,1982-12,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.0,
2848,1982-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
2849,1982-12,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2853,1982-12,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2854,1982-12,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
2855,1982-12,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,20.4,E
2856,1982-12,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.8,
2857,1982-12,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.7,
2858,1982-12,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.7,E
2967,1983-01,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.0,
2968,1983-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
2969,1983-01,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2973,1983-01,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2974,1983-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
2975,1983-01,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,20.4,E
2976,1983-01,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.7,
2977,1983-01,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.2,
2978,1983-01,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.4,E
3087,1983-02,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.0,
3088,1983-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
3089,1983-02,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
3093,1983-02,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.9,
3094,1983-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.6,
3095,1983-02,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,20.4,E
